park_code,national_park,state,acres,latitude,longitude
ACAD,Acadia National Park,Maine,47390,44.35,-68.21
ARCH,Arches National Park,Utah,76519,38.68,-109.57
BADL,Badlands National Park,South Dakota,242756,43.75,-102.5
BIBE,Big Bend National Park,Texas,801163,29.25,-103.25
BISC,Biscayne National Park,Florida,172924,25.65,-80.08
BLCA,Black Canyon of the Gunnison National Park,Colorado,32950,38.57,-107.72
BRCA,Bryce Canyon National Park,Utah,35835,37.57,-112.18
CANY,Canyonlands National Park,Utah,337598,38.2,-109.93
CARE,Capitol Reef National Park,Utah,241904,38.2,-111.17
CAVE,Carlsbad Caverns National Park,New Mexico,46766,32.17,-104.44
CHIS,Channel Islands National Park,California,249561,34.01,-119.42
CONG,Congaree National Park,South Carolina,26546,33.78,-80.78
CRLA,Crater Lake National Park,Oregon,183224,42.94,-122.1
CUVA,Cuyahoga Valley National Park,Ohio,32950,41.24,-81.55
DENA,Denali National Park,Alaska,3372402,63.33,-150.5
DEVA,Death Valley National Park,"CA, NV",4740912,36.24,-116.82
DRTO,Dry Tortugas National Park,Florida,64701,24.63,-82.87
EVER,Everglades National Park,Florida,1508538,25.32,-80.93
GAAR,Gates of the Arctic National Park,Alaska,7523898,67.78,-153.3
GLAC,Glacier National Park,Montana,1013572,48.8,-114.0
GLBA,Glacier Bay National Park,Alaska,3224840,58.5,-137.0
GRBA,Great Basin National Park,Nevada,77180,38.98,-114.3
GRCA,Grand Canyon National Park,Arizona,1217403,36.06,-112.14
GRSA,Great Sand Dunes National Park,Colorado,42984,37.73,-105.51
GRSM,Great Smoky Mountains National Park,"TN, NC",521490,35.68,-83.53
GRTE,Grand Teton National Park,Wyoming,309995,43.73,-110.8
GUMO,Guadalupe Mountains National Park,Texas,86416,31.92,-104.87
HALE,Haleakala National Park,Hawaii,29094,20.72,-156.17
HAVO,Hawaii Volcanoes National Park,Hawaii,323431,19.38,-155.2
HOSP,Hot Springs National Park,Arkansas,5550,34.51,-93.05
ISRO,Isle Royale National Park,Michigan,571790,48.1,-88.55
JOTR,Joshua Tree National Park,California,789745,33.79,-115.9
KATM,Katmai National Park,Alaska,3674530,58.5,-155.0
KEFJ,Kenai Fjords National Park,Alaska,669983,59.92,-149.65
KOVA,Kobuk Valley National Park,Alaska,1750717,67.55,-159.28
LACL,Lake Clark National Park,Alaska,2619733,60.97,-153.42
LAVO,Lassen Volcanic National Park,California,106372,40.49,-121.51
MACA,Mammoth Cave National Park,Kentucky,52830,37.18,-86.1
MEVE,Mesa Verde National Park,Colorado,52122,37.18,-108.49
MORA,Mount Rainier National Park,Washington,235625,46.85,-121.75
NOCA,North Cascades National Park,Washington,504781,48.7,-121.2
OLYM,Olympic National Park,Washington,922651,47.97,-123.5
PEFO,Petrified Forest National Park,Arizona,93533,35.07,-109.78
PINN,Pinnacles National Park,California,26606,36.48,-121.16
REDW,Redwood National Park,California,112512,41.3,-124.0
ROMO,Rocky Mountain National Park,Colorado,265828,40.4,-105.58
SAGU,Saguaro National Park,Arizona,91440,32.25,-110.5
SEKI,Sequoia and Kings Canyon National Parks,California,865952,36.43,-118.68
SHEN,Shenandoah National Park,Virginia,199045,38.53,-78.35
THRO,Theodore Roosevelt National Park,North Dakota,70447,46.97,-103.45
VOYA,Voyageurs National Park,Minnesota,218200,48.5,-92.88
WICA,Wind Cave National Park,South Dakota,28295,43.57,-103.48
WRST,Wrangell - St Elias National Park,Alaska,8323148,61.0,-142.0
YELL,Yellowstone National Park,"WY, MT, ID",2219791,44.6,-110.5
YOSE,Yosemite National Park,California,761266,37.83,-119.5
ZION,Zion National Park,Utah,146598,37.3,-113.05
